,Name,Distance,Mass,Radius
897,SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.1007077399999999
899,Kelu-1A,61.0,0.060139044,0.1007077399999999
901,Kelu-1B,61.0,0.055366104,0.1007077399999999
903,2MASS J13204427+0409045,101.0,0.063957396,0.10379063
905,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004,0.0996801099999999
907,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.0965972199999999
909,2MASS J13595510-4034582,51.0,0.060139044,0.102763
911,ULAS J141623.94+134836.3,29.7,0.030546816,0.0986524799999999
913,SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.1017353699999999
915,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002,0.13564716
917,LHS 2924,38.5,0.072548688,0.10892878
919,2MASS J14392837+1929150,47.0,0.068730336,0.10584589
921,LSPM J1440+1339,72.0,0.087822096,0.1222879699999999
923,2MASS J14482563+1031590 [de],47.0,0.056320692,0.1017353699999999
925,CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445
927,CFBDSIR 1458+10B,104.0,0.008591292,0.1335918999999999
929,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
931,2MASS 1503+2525,20.7,0.042001872,0.0965972199999999
933,CFBDS J150411+102717,71.0,0.042001872,0.0965972199999999
935,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826
937,2MASS 1507−1627,23.9,0.057275280000000005,0.1017353699999999
939,TVLM 868-110639,53.0,0.075412452,0.11098404
941,2MASSW J1515008+484742 [de],34.0,0.054411516,0.1017353699999999
943,2MASSI J1526140+204341 [de],67.0,0.051547752,0.1007077399999999
945,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763
947,2MASS J15462718-3325111 [de],37.0,0.042001872,0.0965972199999999
949,2MASSW J1552591+294849 [de],68.0,0.028637640000000002,0.1469510899999999
951,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589
953,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.0965972199999999
955,SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.0965972199999999
